mes,ano,receita,despesa,lucro,margem
1,2022,237118.7,52315.4,184803.3,0.779
2,2022,240382.8,125839.61,114543.19,0.477
3,2022,278843.2,119453.28,159389.92,0.572
4,2022,132624.44,77898.69,54725.75,0.413
5,2022,242397.8,62943.75,179454.05,0.74
6,2022,226089.37,206318.7,19770.67,0.087
7,2022,90694.24,139889.52,-49195.28,-0.542
8,2022,125761.51,179152.77,-53391.26,-0.425
9,2022,175744.36,88755.91,86988.45,0.495
10,2022,149143.85,150086.17,-942.32,-0.006
11,2022,157173.89,177935.03,-20761.14,-0.132
12,2022,89618.74,144198.3,-54579.56,-0.609
1,2023,274740.58,158044.86,116695.72,0.425
2,2023,153699.16,95003.61,58695.55,0.382
3,2023,182811.22,102659.7,80151.52,0.438
4,2023,104681.18,144773.65,-40092.47,-0.383
5,2023,230235.71,135588.66,94647.05,0.411
6,2023,255729.99,111544.96,144185.03,0.564
7,2023,230484.29,211504.02,18980.27,0.082
8,2023,89429.82,164889.51,-75459.69,-0.844
9,2023,165847.45,101935.52,63911.93,0.385
10,2023,153485.45,160875.2,-7389.75,-0.048
11,2023,147707.84,74759.14,72948.7,0.494
12,2023,119361.87,199609.26,-80247.39,-0.672
1,2024,102280.73,210558.94,-108278.21,-1.059
2,2024,110832.77,171197.29,-60364.52,-0.545
3,2024,169489.88,180857.66,-11367.78,-0.067
4,2024,202955.32,175201.43,27753.89,0.137
5,2024,275430.11,165969.26,109460.85,0.397
6,2024,204158.01,188651.81,15506.2,0.076
7,2024,96973.36,124526.02,-27552.66,-0.284
8,2024,234710.73,179906.74,54803.99,0.233
9,2024,128579.24,99889.87,28689.37,0.223
10,2024,208303.13,176184.45,32118.68,0.154
11,2024,177857.04,55219.87,122637.17,0.69
12,2024,253521.97,144365.1,109156.87,0.431
