id,cidade,bairro,quartos,area_m2,preco,tipo
1,Fortaleza,Vila Nova,2,156,587797,apartamento
2,São Paulo,Ponta Verde,3,117,668346,apartamento
3,São Paulo,Ponta Verde,2,150,1050738,casa
4,Manaus,Jardins,1,184,224109,apartamento
5,Porto Alegre,Boa Viagem,2,59,648419,apartamento
6,São Paulo,Centro,4,184,962776,casa
7,Manaus,Bela Vista,4,193,1198675,casa
8,Belo Horizonte,Bela Vista,3,96,482135,casa
9,Porto Alegre,Ponta Verde,4,107,660860,apartamento
10,Manaus,Vila Nova,1,95,791970,casa
11,Fortaleza,Santa Cruz,3,148,386599,apartamento
12,São Paulo,Vila Nova,1,80,398983,casa
13,Recife,Vila Nova,1,129,1136510,apartamento
14,São Paulo,Bela Vista,2,38,253920,apartamento
15,São Paulo,Ponta Verde,4,101,1021813,apartamento
16,Fortaleza,Cidade Baixa,2,189,306632,casa
17,São Paulo,Centro,1,69,454369,apartamento
18,Fortaleza,Centro,1,186,1191332,apartamento
19,Fortaleza,Boa Viagem,2,98,335609,casa
20,Recife,Bela Vista,4,186,895958,casa
21,Goiânia,Cidade Baixa,1,137,199339,casa
22,Salvador,Alvorada,1,178,635914,apartamento
23,Porto Alegre,Santo Antônio,2,48,243123,apartamento
24,Goiânia,Boa Viagem,3,213,419761,apartamento
25,Fortaleza,Jardins,1,100,1189389,apartamento
26,Rio de Janeiro,Jardins,1,119,286958,casa
27,Goiânia,Ponta Verde,3,215,461725,apartamento
28,Manaus,Vila Nova,3,76,209053,apartamento
29,Porto Alegre,Centro,1,130,403336,apartamento
30,Curitiba,Alvorada,4,143,221427,apartamento
31,Salvador,Santo Antônio,3,110,800276,casa
32,Porto Alegre,Santo Antônio,4,151,345472,casa
33,São Paulo,Jardins,1,178,334649,apartamento
34,São Paulo,Vila Nova,1,214,721623,apartamento
35,Belo Horizonte,Bela Vista,4,190,1157251,apartamento
36,São Paulo,Vila Nova,4,74,225316,casa
37,Salvador,Ponta Verde,1,165,464810,casa
38,Salvador,Vila Nova,4,96,1018027,apartamento
39,Curitiba,Santo Antônio,3,78,1187232,apartamento
40,Salvador,Cidade Baixa,1,40,498972,apartamento
41,Belo Horizonte,Boa Viagem,1,181,1186585,apartamento
42,Manaus,Santa Cruz,1,178,311839,casa
43,Fortaleza,Jardins,2,199,533266,apartamento
44,Goiânia,Centro,3,208,1098357,apartamento
45,Rio de Janeiro,Centro,1,156,820839,apartamento
46,Curitiba,Centro,3,147,618236,apartamento
47,São Paulo,Jardins,2,181,444073,casa
48,Belo Horizonte,Cidade Baixa,1,45,284089,casa
49,Belo Horizonte,Bela Vista,2,183,960711,casa
50,Fortaleza,Jardins,3,60,321169,apartamento
51,Porto Alegre,Ponta Verde,3,40,711937,casa
52,Fortaleza,Santo Antônio,3,95,1192145,casa
53,Porto Alegre,Alvorada,4,49,1107838,apartamento
54,Belo Horizonte,Vila Nova,4,145,419389,casa
55,Porto Alegre,Santo Antônio,1,65,842255,apartamento
56,Salvador,Bela Vista,1,131,713470,casa
57,Curitiba,Alvorada,4,76,462077,apartamento
58,Salvador,Ponta Verde,4,59,705028,apartamento
59,Manaus,Vila Nova,2,119,983627,apartamento
60,Belo Horizonte,Cidade Baixa,2,138,665071,apartamento
61,Manaus,Santo Antônio,4,218,1038549,apartamento
62,Salvador,Santo Antônio,2,71,479471,apartamento
63,Goiânia,Cidade Baixa,4,177,653468,casa
64,Porto Alegre,Boa Viagem,3,159,679770,apartamento
65,Belo Horizonte,Boa Viagem,1,201,407782,apartamento
66,São Paulo,Centro,4,65,1035442,casa
67,Porto Alegre,Ponta Verde,4,115,342645,apartamento
68,Curitiba,Santa Cruz,3,91,512541,apartamento
69,Porto Alegre,Santo Antônio,4,178,349761,apartamento
70,Belo Horizonte,Jardins,3,201,643848,apartamento
71,Goiânia,Santa Cruz,2,129,459251,casa
72,Belo Horizonte,Centro,4,206,914520,apartamento
73,Porto Alegre,Jardins,1,63,893154,casa
74,Goiânia,Cidade Baixa,2,177,767168,apartamento
75,Manaus,Vila Nova,4,101,192643,casa
76,Fortaleza,Bela Vista,3,95,543750,casa
77,Goiânia,Alvorada,2,54,743894,casa
78,Porto Alegre,Boa Viagem,4,175,214326,apartamento
79,Fortaleza,Alvorada,1,126,1077873,apartamento
80,Rio de Janeiro,Centro,2,61,358818,apartamento
81,Porto Alegre,Bela Vista,3,59,1031112,casa
82,Belo Horizonte,Bela Vista,1,68,932636,apartamento
83,São Paulo,Alvorada,4,39,1053812,apartamento
84,Recife,Vila Nova,1,220,955440,casa
85,Manaus,Santo Antônio,1,52,402478,apartamento
86,São Paulo,Bela Vista,1,190,658421,casa
87,Goiânia,Boa Viagem,1,58,283811,apartamento
88,São Paulo,Centro,2,114,1153624,apartamento
89,Rio de Janeiro,Bela Vista,1,214,710494,casa
90,Rio de Janeiro,Boa Viagem,4,204,771724,apartamento
91,São Paulo,Jardins,4,77,987504,apartamento
92,Goiânia,Centro,3,63,800097,casa
93,Porto Alegre,Cidade Baixa,3,131,1156015,apartamento
94,Rio de Janeiro,Jardins,2,150,547277,apartamento
95,Salvador,Ponta Verde,2,218,315178,apartamento
96,Recife,Vila Nova,4,171,970850,apartamento
97,Recife,Vila Nova,4,191,987392,apartamento
98,Curitiba,Cidade Baixa,1,144,300922,apartamento
99,São Paulo,Ponta Verde,1,195,682811,apartamento
100,Belo Horizonte,Bela Vista,4,102,694492,apartamento
101,Rio de Janeiro,Ponta Verde,2,162,545307,apartamento
102,São Paulo,Cidade Baixa,4,181,1095226,apartamento
103,São Paulo,Vila Nova,3,178,205649,casa
104,Manaus,Santa Cruz,3,157,1099253,casa
105,São Paulo,Centro,2,204,459372,casa
106,Porto Alegre,Bela Vista,2,92,1108908,apartamento
107,Belo Horizonte,Vila Nova,1,138,803501,apartamento
108,Fortaleza,Boa Viagem,4,179,559530,apartamento
109,Porto Alegre,Santo Antônio,4,43,597826,apartamento
110,Salvador,Jardins,4,196,913615,apartamento
111,Curitiba,Boa Viagem,3,216,974930,apartamento
112,Rio de Janeiro,Santa Cruz,1,67,1069471,apartamento
113,Porto Alegre,Vila Nova,4,56,194626,apartamento
114,São Paulo,Bela Vista,2,131,238675,casa
115,Manaus,Alvorada,2,110,1079753,apartamento
116,Rio de Janeiro,Boa Viagem,2,185,333606,apartamento
117,Manaus,Alvorada,1,94,214730,apartamento
118,Porto Alegre,Jardins,4,191,1038684,apartamento
119,São Paulo,Santa Cruz,2,49,344518,apartamento
120,Salvador,Jardins,4,159,944655,apartamento
121,Manaus,Santo Antônio,3,141,937545,apartamento
122,Curitiba,Boa Viagem,3,97,514909,casa
123,Rio de Janeiro,Jardins,1,121,207905,apartamento
124,Porto Alegre,Cidade Baixa,4,104,996048,apartamento
125,Recife,Ponta Verde,4,69,525604,apartamento
126,Curitiba,Ponta Verde,3,120,970622,apartamento
127,Belo Horizonte,Ponta Verde,1,152,1141695,apartamento
128,Salvador,Jardins,2,97,811045,apartamento
