id_pedido,id_cliente,data,status,valor,itens,frete
1,488,2024-05-24,processando,4491.79,1,7.04
2,128,2024-03-19,entregue,683.34,3,7.01
3,241,2024-01-02,cancelado,4021.78,5,18.59
4,213,2024-03-14,entregue,914.46,9,48.27
5,380,2024-11-06,entregue,4401.43,2,39.33
6,16,2024-08-07,entregue,2048.09,6,45.45
7,136,2024-10-11,entregue,3927.18,6,1.42
8,241,2024-01-24,entregue,4572.21,1,26.97
9,391,2024-10-24,cancelado,890.21,2,0.75
10,460,2024-04-03,enviado,4941.55,2,48.44
11,238,2024-07-28,cancelado,2230.06,10,40.47
12,1,2024-05-16,enviado,4502.77,5,6.41
13,337,2024-09-12,cancelado,3358.74,2,23.89
14,384,2024-10-07,entregue,1135.59,3,40.27
15,74,2024-04-22,entregue,3728.77,7,14.11
16,315,2024-02-08,entregue,1290.82,5,16.43
17,499,2024-08-22,cancelado,2623.59,10,49.38
18,137,2024-03-11,enviado,1905.11,3,28.97
19,479,2024-01-24,enviado,3177.81,4,48.98
20,8,2024-03-21,entregue,4185.13,4,8.09
21,166,2024-01-19,enviado,2445.03,6,9.39
22,446,2024-10-13,enviado,4963.86,8,31.07
23,280,2024-08-04,processando,1432.56,9,46.19
24,173,2024-03-09,entregue,4044.59,8,38.6
25,234,2024-11-04,processando,4288.26,9,13.14
26,401,2024-06-14,processando,175.8,9,6.31
27,117,2024-08-27,entregue,645.37,5,6.31
28,178,2024-05-15,enviado,2788.83,2,48.31
29,498,2024-09-06,enviado,4109.13,9,9.74
30,431,2024-11-08,entregue,1033.45,6,26.28
31,400,2024-03-19,cancelado,2648.97,9,18.13
32,118,2024-12-17,entregue,1903.64,2,34.02
33,326,2024-11-28,cancelado,1169.97,3,27.04
34,490,2024-10-14,entregue,1428.19,7,14.82
35,462,2024-09-14,enviado,2366.62,3,36.08
36,154,2024-01-03,entregue,3556.29,5,10.44
37,376,2024-10-20,entregue,343.15,7,7.02
38,247,2024-03-25,entregue,1986.63,3,32.3
39,201,2024-10-07,entregue,4179.93,2,11.32
40,486,2024-05-05,enviado,661.18,10,47.22
41,78,2024-04-15,entregue,3377.58,6,0.54
42,61,2024-09-10,cancelado,557.93,10,23.56
43,339,2024-08-10,entregue,2729.23,10,22.72
44,37,2024-12-11,entregue,4749.97,1,19.08
45,457,2024-05-04,processando,2359.3,10,8.42
46,364,2024-12-28,enviado,3804.37,4,26.14
47,46,2024-12-20,cancelado,4332.17,4,43.47
48,341,2024-08-27,processando,4818.06,7,2.83
49,54,2024-05-27,processando,3675.59,5,32.01
50,169,2024-07-22,entregue,4916.28,2,0.65
51,366,2024-08-08,cancelado,2500.13,10,21.69
52,137,2024-02-25,processando,2464.92,10,41.87
53,193,2024-10-17,processando,1943.81,10,5.39
54,430,2024-11-04,cancelado,519.82,4,18.04
