id_venda,data,id_cliente,id_produto,quantidade,preco_unitario,total,canal
1,2023-05-03,336,6,2,70.7,141.4,online
2,2023-01-13,321,5,1,172.17,172.17,loja
3,2023-01-07,245,2,4,25.99,103.96,loja
4,2024-01-01,357,6,5,1723.26,8616.3,loja
5,2023-04-13,46,12,4,68.77,275.08,loja
6,2024-03-13,397,14,1,249.37,249.37,loja
7,2023-10-21,85,8,2,41.17,82.34,online
8,2024-10-22,227,14,2,24.41,48.82,loja
9,2023-10-24,197,6,1,98.1,98.1,online
10,2024-11-03,128,9,3,79.99,239.97,marketplace
11,2023-11-10,106,9,5,244.2,1221.0,marketplace
12,2024-11-02,402,15,5,3299.75,16498.74,loja
13,2024-11-20,37,9,4,79.64,318.56,loja
14,2024-10-14,188,9,3,44.68,134.04,loja
15,2023-01-09,111,1,4,449.07,1796.29,loja
16,2024-07-23,206,2,4,142.9,571.6,marketplace
17,2023-05-03,262,15,5,50.52,252.6,loja
18,2023-05-23,224,12,2,449.33,898.65,loja
19,2024-02-15,314,10,1,302.69,302.69,loja
20,2023-02-01,363,3,3,24.38,73.14,loja
21,2024-03-12,65,12,2,1299.95,2599.91,online
22,2024-07-09,269,2,1,406.06,406.06,online
23,2024-09-12,29,8,5,20.45,102.25,marketplace
24,2023-10-22,371,2,2,249.16,498.31,loja
25,2023-04-02,242,6,5,24.84,124.2,online
26,2023-09-26,468,12,2,838.49,1676.98,online
27,2024-05-27,40,10,2,249.25,498.5,online
28,2023-03-08,412,9,1,308.86,308.86,loja
29,2024-05-11,45,9,4,54.99,219.96,online
30,2024-12-20,125,8,1,249.2,249.2,online
31,2023-12-18,390,13,5,1296.17,6480.85,loja
32,2023-04-18,178,11,2,122.47,244.94,loja
33,2024-12-24,158,2,3,130.66,391.98,loja
34,2023-03-23,144,2,5,1396.58,6982.9,loja
35,2024-12-12,235,12,2,85.95,171.9,loja
36,2024-02-19,291,1,5,60.41,302.03,online
37,2024-07-23,426,12,2,976.41,1952.82,online
38,2023-04-05,400,13,3,367.83,1103.49,marketplace
39,2024-08-11,209,2,1,899.11,899.11,marketplace
40,2024-08-09,437,2,3,109.08,327.24,loja
41,2023-04-27,439,6,2,314.32,628.64,loja
42,2024-07-17,26,11,1,389.25,389.25,online
43,2023-07-28,232,9,3,79.34,238.02,marketplace
44,2023-02-01,32,14,2,38.44,76.88,loja
45,2024-11-21,481,11,2,3299.82,6599.65,loja
46,2023-01-03,102,15,5,71.74,358.7,online
47,2024-02-02,483,8,2,56.11,112.22,loja
48,2024-08-01,196,11,2,98.57,197.15,online
49,2023-05-09,229,15,2,69.17,138.34,loja
50,2023-11-10,256,7,1,143.77,143.77,marketplace
51,2024-03-14,103,11,4,129.99,519.95,marketplace
52,2023-07-26,366,6,2,25.87,51.74,online
53,2024-07-09,93,1,5,227.93,1139.65,online
54,2024-01-26,242,9,5,3299.03,16495.15,online
55,2023-04-22,124,5,5,3213.68,16068.4,marketplace
56,2023-10-28,409,7,1,447.45,447.45,online
57,2024-12-23,184,15,2,899.24,1798.47,marketplace
58,2023-10-07,429,13,1,278.51,278.51,online
59,2023-02-02,120,10,5,51.58,257.9,loja
60,2024-10-07,413,3,1,449.48,449.48,online
61,2024-01-01,76,10,2,82.59,165.18,loja
62,2024-02-12,361,11,1,51.53,51.53,online
63,2024-03-06,375,7,5,60.24,301.18,online
64,2024-04-22,302,14,3,641.61,1924.83,loja
65,2024-03-06,374,1,4,152.05,608.2,marketplace
66,2023-03-20,163,15,4,80.89,323.58,marketplace
67,2024-03-11,382,2,2,23.34,46.68,loja
68,2023-12-22,328,12,3,58.45,175.35,online
69,2023-12-03,180,5,4,130.17,520.66,loja
70,2024-03-14,253,15,1,62.41,62.41,online
71,2024-10-21,389,11,3,181.02,543.06,loja
72,2023-05-01,164,5,2,1299.07,2598.15,loja
73,2024-03-24,39,9,1,58.95,58.95,loja
74,2024-12-01,221,11,3,216.96,650.88,loja
75,2023-02-11,106,4,5,98.43,492.17,online
76,2024-11-10,153,4,5,361.54,1807.7,loja
77,2024-03-02,185,1,1,322.47,322.47,online
78,2024-04-04,14,4,1,200.72,200.72,loja
79,2023-05-26,204,8,3,38.9,116.7,online
80,2024-03-12,454,7,3,45.61,136.83,online
81,2024-08-09,116,14,2,1299.04,2598.09,online
82,2023-02-22,177,13,5,36.61,183.05,marketplace
83,2023-07-27,268,7,4,272.99,1091.96,marketplace
84,2024-05-03,203,15,4,220.78,883.13,loja
85,2023-02-25,230,3,5,200.0,1000.0,loja
86,2023-07-03,350,7,2,102.68,205.36,loja
87,2024-12-26,35,2,2,80.5,160.99,online
88,2024-09-15,470,14,5,312.04,1560.2,loja
89,2024-02-14,77,3,5,124.46,622.3,marketplace
90,2023-02-19,400,2,5,220.66,1103.29,online
91,2024-05-13,336,8,5,46.82,234.1,marketplace
92,2024-07-05,317,10,5,67.92,339.6,online
93,2024-12-08,26,12,1,549.89,549.89,online
94,2024-05-10,144,14,3,49.05,147.15,online
95,2024-12-15,397,14,1,33.65,33.65,online
96,2023-04-15,109,15,3,389.42,1168.25,online
97,2024-01-17,406,3,4,241.58,966.32,loja
98,2023-09-19,15,3,3,207.01,621.03,loja
99,2023-08-02,471,6,2,79.96,159.92,loja
100,2024-11-04,349,1,3,208.58,625.74,loja
101,2023-08-19,283,6,3,779.78,2339.34,online
102,2023-05-01,198,1,2,80.79,161.59,loja
103,2023-11-08,347,4,5,433.95,2169.75,online
104,2023-08-05,332,3,4,28.6,114.4,marketplace
105,2024-12-23,330,5,1,3299.25,3299.25,online
106,2024-04-15,155,11,4,40.89,163.56,marketplace
107,2023-09-22,495,14,5,329.19,1645.95,online
108,2024-05-22,56,8,5,26.49,132.47,loja
109,2024-05-21,365,15,3,135.24,405.72,online
110,2023-01-26,439,13,2,474.7,949.4,marketplace
111,2023-12-01,336,8,4,26.22,104.88,online
112,2024-12-02,299,12,3,52.65,157.95,marketplace
113,2023-11-18,327,13,2,186.38,372.76,online
114,2023-11-18,93,5,3,449.3,1347.9,loja
115,2023-11-11,336,2,4,671.27,2685.08,loja
116,2024-07-26,455,6,3,2460.26,7380.78,online
117,2023-08-02,444,11,3,220.19,660.58,marketplace
118,2023-09-04,445,11,5,34.24,171.2,online
119,2023-03-07,176,7,5,94.32,471.6,marketplace
120,2023-02-16,171,11,4,899.32,3597.27,loja
121,2024-05-07,390,13,3,20.34,61.02,loja
122,2023-03-20,223,11,5,87.97,439.85,online
123,2024-01-02,274,4,4,549.97,2199.86,online
124,2023-01-22,3,11,1,45.13,45.13,loja
125,2024-03-04,197,9,2,343.61,687.22,marketplace
